filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an
KPI-8723f0fb-eaef-32e6-b372-6034c9c04b80.test.out,0,0.048776332,0.00312044,0.003524229,0.074789546,0.001044471,0.011056911,0.009764265,0.015780097,0.102822705,0.081718022,0.338627237,IOPS,125,0.005438646,62,13.08064516,3,28.16672619,149118,0,1,0,sequence
KPI-9c639a46-34c8-39bc-aaf0-9144b37adfc8.test.out,0.049288749,0.021096689,0.009338094,0.074082163,0.167013336,0.056454294,0,0.007223445,0.01977235,0.125013991,0.109367407,0.32328405,IOPS,165,0.056396543,46,132.5,17,483.5971082,108074,0,1,0,sequence
KPI-a07ac296-de40-3a7c-8df3-91f642cc14d0.test.out,0.024280964,0.060855944,0.002582496,0.066620153,0.235922358,0.048871139,0,0.04922104,0.011546304,0.152251191,0.12314284,0.362713197,IOPS,11,0.053186194,60,94.38333333,23,361.4841671,106475,0,1,0,sequence
KPI-a8c06b47-cc41-3738-9110-12df0ee4c721.test.out,0.061026373,0.072015917,0,0.00336984,0.240077783,0.045535758,0,0.148380355,0,0.260329105,0.219800061,0.429400092,IOPS,9,0.016759039,10,12.7,4.5,19.91004771,7578,0,1,0,sequence
KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.test.out,0,0,0.007092199,0.032786885,0.237929885,0,0,0,0,0.061997992,0.201592779,0,IOPS,287,0.017346939,14,13.35714286,12.5,5.601111406,10780,0,1,0,sequence
KPI-adb2fde9-8589-3f5b-a410-5fe14386c7af.test.out,0.013244054,0.001498442,0,0.016229713,0.130590599,0,0.020872088,0.099607972,0,0.115982165,0.116771502,0.336895728,IOPS,125,0.009763836,92,15.52173913,4,43.12254486,146254,0,1,0,sequence
KPI-ba5f3328-9f3f-3ff5-a683-84437d16d554.test.out,0.050557033,0.072069702,0.017416546,0.056937702,0.329853545,0.053819638,0.025748959,0.04924283,0.050143337,0.359661015,0.25970313,0.510309753,IOPS,125,0.017204331,61,41.21311475,3,82.28561111,146126,0,1,0,sequence
KPI-c02607e8-7399-3dde-9d28-8a8da5e5d251.test.out,0,0.006825939,0.131463203,0.08224141,0.138069306,0,0,0,0.066825776,0.239316239,0.335473221,0.063157895,IOPS,288,0.006944444,5,12.2,3,17.90418945,8784,0,1,0,sequence
KPI-c69a50cf-ee03-3bd7-831e-407d36c7ee91.test.out,0.003452488,0.004799937,0.004451776,0.027135993,0.07595831,0.006457094,0.002912676,0,0,0.147640087,0.141066552,0.483690481,IOPS,125,0.004706387,59,11.89830508,11,9.313185323,149159,0,1,0,sequence
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.test.out,0.012513922,0.119258799,0.078929228,0.145481984,0.194252948,0.00475571,0,0.006841868,0,0.162952611,0.171099272,0.391932945,IOPS,8,0.081648269,77,113.6363636,11,231.1684554,107167,0,1,0,sequence
KPI-e0747cad-8dc8-38a9-a9ab-855b61f5551d.test.out,0,0.240369263,0.094890511,0.096654275,0.199454872,0,0,0,0,0.215047958,0.338068862,0.131025958,IOPS,288,0.010587432,7,13.28571429,3,22.83927873,8784,0,1,0,sequence
KPI-f0932edd-6400-3e63-9559-0a9860a1baa9.test.out,0.033644083,0.009306953,0.036318419,0.08609984,0.235298936,0.029288051,0.008864378,0.029253871,0.006429805,0.227982464,0.225460911,0.22809284,IOPS,6,0.056324686,50,145.08,6.5,927.7127969,128789,0,1,0,sequence
KPI-ffb82d38-5f00-37db-abc0-5d2e4e4cb6aa.test.out,0.029367733,0.26723582,0.155827518,0.234631295,0.070316881,0,0.238693064,0.238694048,0.022849062,0.276332259,0.174730005,0.452962783,IOPS,11,0.052972419,18,379,3,1517.715242,128784,0,1,0,sequence
1.test.out,0,0.640640992,0.074846553,0.004938272,0.007245939,0.009174201,0.012596221,0.00293809,0.02984919,0.004754358,0.014186793,0.013731099,MGAB,49,0.002,10,20,20,0,100000,0,1,0,sequence
10.test.out,0,0.763146668,0.046493817,0,0,0,0,0,0.011224928,0.008900616,0.010119817,0,MGAB,49,0.002,10,20,20,0,100000,0,1,0,sequence
2.test.out,0,0.781924874,0.069125252,0,0.004876774,0.003555255,0,0.003729411,0.019126322,0.042270066,0.02374955,0,MGAB,49,0.002,10,20,20,0,100000,0,1,0,sequence
3.test.out,0,0.6285059,0.038356438,0,0.007703704,0.00288313,0,0.003601801,0.020756349,0.010656822,0.016827308,0.02020202,MGAB,49,0.002,10,20,20,0,100000,0,1,0,sequence
4.test.out,0,0.725515848,0.0659836,0.004298295,0.004188539,0,0,0,0.019132519,0.02007991,0.015361884,0,MGAB,103,0.002,10,20,20,0,100000,0,1,0,sequence
5.test.out,0,0.720933141,0.063365504,0,0,0.005759539,0,0,0.020984242,0.010031565,0.008062968,0,MGAB,49,0.002,10,20,20,0,100000,0,1,0,sequence
6.test.out,0,0.734626128,0.048260359,0,0.00308272,0.003008273,0.012216405,0.00377695,0.025224149,0.014990631,0.016464187,0.0122583,MGAB,48,0.002,10,20,20,0,100000,0,1,0,sequence
7.test.out,0,0.722114277,0.057148697,0,0.006039255,0,0,0,0.013847562,0.012734472,0.014607244,0,MGAB,49,0.002,10,20,20,0,100000,0,1,0,sequence
8.test.out,0,0.646472811,0.057144547,0,0.007391976,0.007310637,0,0.007376833,0.013529646,0.011650342,0.024567673,0,MGAB,49,0.002,10,20,20,0,100000,0,1,0,sequence
9.test.out,0,0.680959395,0.075767352,0.004362788,0.011794139,0,0,0.014720547,0.018730802,0.007402838,0.005526853,0.013010958,MGAB,48,0.002,10,20,20,0,100000,0,1,0,sequence
NAB_data_CloudWatch_1.out,0.181517732,0.355683837,0,0,0.182115664,0.738170347,0,0.538011696,0,0.075172934,0.090686819,0.141414141,NAB,289,0.09923096,2,200,200,0,4031,0,1,0,sequence
NAB_data_CloudWatch_10.out,0.113861386,0,0,0,0.156719032,0.119606359,0,0,0,0.149116894,0.147545358,0,NAB,10,0.099727115,3,134,134,0,4031,0,1,0,sequence
NAB_data_CloudWatch_11.out,0.235744049,0.472644377,0.056599698,0.256939502,0.167030734,0.460949464,0.362318841,0.467987805,0.251548947,0.170929376,0.287739192,0.437013997,NAB,50,0.099727115,1,402,402,0,4031,0,1,0,sequence
NAB_data_CloudWatch_12.out,0.31131376,0,0.300368021,0,0.207318971,0.31294964,0,0.516865594,0.164175397,0.194350209,0.177895398,0.236173393,NAB,11,0.099809685,2,236,236,0,4729,0,1,0,sequence
NAB_data_CloudWatch_13.out,0.184558322,0.17218543,0,0,0.17457146,0.16,0,0.449612403,0,0.130405195,0.114929577,0.4375,NAB,125,0.09923096,2,200,200,0,4031,0,1,0,sequence
NAB_data_CloudWatch_14.out,0.278688525,0,0.061733737,0.260096374,0.154090188,0.068353555,0,0.078518441,0.08605852,0.100560351,0.132924335,0.291420118,NAB,16,0.1,3,154,154,0,4620,0,1,0,sequence
NAB_data_CloudWatch_15.out,0.208264463,0,0,0,0,0.226012793,0,0.15770424,0,0,0.052091555,0.132934132,NAB,202,0.099838969,2,62,62,0,1242,0,1,0,sequence
NAB_data_CloudWatch_16.out,0.257839721,0.212689902,0.168244329,0,0.259756676,0.25107367,0.424242424,0.26593911,0.283854283,0.092438556,0.075751949,0.360655738,NAB,125,0.09923096,2,200,200,0,4031,0,1,0,sequence
NAB_data_CloudWatch_17.out,0.22790279,0.507462687,0.144564867,0,0.19033675,0.128064363,0.327956989,0.515388321,0.332546999,0.230215827,0.111037673,0.4375,NAB,6,0.09923096,2,200,200,0,4031,0,1,0,sequence
NAB_data_CloudWatch_2.out,0.371368084,0.091925466,0,0,0.22865958,0.475609756,0,0.310810811,0.311945219,0.219104876,0.119507909,0.32633044,NAB,6,0.09923096,2,200,200,0,4031,0,1,0,sequence
NAB_data_CloudWatch_3.out,0.29971831,0.437820961,0.592784031,0.368686869,0.205640699,0.061412233,0.413096374,0.323343881,0.147984063,0.186881642,0.289772727,0.245614035,NAB,8,0.09923096,2,200,200,0,4031,0,1,0,sequence
NAB_data_CloudWatch_4.out,0.193496617,0.116945107,0.112305212,0,0.158216695,0,0,0.18344519,0,0.197219152,0.198003414,0.386837881,NAB,17,0.099727115,1,402,402,0,4031,0,1,0,sequence
