filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an
KPI-6efa3a07-4544-34a0-b921-a155bd1a05e8.test.out,0.18038993,0.272004543,0.091993186,0.025742949,0.220897217,0.162597009,0.005300019,0.233579406,0.003217869,0.222979368,0.158432709,0.471512398,IOPS,15,0.035421192,119,44.39495798,27,85.1208946,149148,0,1,0,sequence
KPI-7103fa0f-cac4-314f-addc-866190247439.test.out,0.470588235,0,0,0,0.382352941,1,0,0.823529412,0,0.235294118,0.294117647,0.779411765,IOPS,191,0.000627162,21,3.238095238,3,0.920908553,108425,0,1,0,sequence
KPI-847e8ecc-f8d2-3a93-9107-f367a0aab37d.test.out,0.008860759,0.121518987,0.035443038,0.079746835,0.317721519,0.010126582,0.044303797,0.03164557,0.044303797,0.334177215,0.397468354,0.803797468,IOPS,6,0.00766611,59,19,18,28.33396477,146228,0,1,0,sequence
KPI-8723f0fb-eaef-32e6-b372-6034c9c04b80.test.out,0,0.182490752,0.01972873,0.017262639,0.223181258,0.069050555,0.041923551,0.230579531,0.038224414,0.192355117,0.1972873,0.609124538,IOPS,125,0.005438646,62,13.08064516,3,28.16672619,149118,0,1,0,sequence
KPI-9c639a46-34c8-39bc-aaf0-9144b37adfc8.test.out,0.113245703,0.24570273,0.01718908,0.073811931,0.465116279,0.134479272,0,0.026289181,0.040444894,0.236602629,0.176946411,0.543983822,IOPS,165,0.056396543,46,132.5,17,483.5971082,108074,0,1,0,sequence
KPI-a07ac296-de40-3a7c-8df3-91f642cc14d0.test.out,0.057990261,0.046480744,0.007968127,0.104028331,0.274900398,0.073041169,0,0.100486941,0.003098716,0.08853475,0.071270474,0.204072598,IOPS,11,0.053186194,60,94.38333333,23,361.4841671,106475,0,1,0,sequence
KPI-a8c06b47-cc41-3738-9110-12df0ee4c721.test.out,0.535433071,0.543307087,0,0.031496063,0.42519685,0.118110236,0,0.559055118,0,0.244094488,0.181102362,0.551181102,IOPS,9,0.016759039,10,12.7,4.5,19.91004771,7578,0,1,0,sequence
KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.test.out,0,0,0.010695187,0.010695187,0.20855615,0,0,0,0,0.016042781,0.112299465,0,IOPS,287,0.017346939,14,13.35714286,12.5,5.601111406,10780,0,1,0,sequence
KPI-adb2fde9-8589-3f5b-a410-5fe14386c7af.test.out,0.002364066,0.014775414,0,0.01536643,0.629432624,0,0.195626478,0.700945626,0,0.099881797,0.106973995,0.281323877,IOPS,125,0.009763836,92,15.52173913,4,43.12254486,146254,0,1,0,sequence
KPI-ba5f3328-9f3f-3ff5-a683-84437d16d554.test.out,0.083665339,0.042054006,0.026560425,0.147557916,0.320938468,0.128375387,0.025675077,0.071860705,0.045595396,0.092518814,0.059908514,0.195809355,IOPS,125,0.017204331,61,41.21311475,3,82.28561111,146126,0,1,0,sequence
KPI-c02607e8-7399-3dde-9d28-8a8da5e5d251.test.out,0,0.049180328,0.606557377,0.93442623,0.786885246,0,0,0,0.06557377,0.032786885,0.196721311,0.049180328,IOPS,288,0.006944444,5,12.2,3,17.90418945,8784,0,1,0,sequence
KPI-c69a50cf-ee03-3bd7-831e-407d36c7ee91.test.out,0.007122507,0.066951567,0.037037037,0.052706553,0.424501425,0.027065527,0.017094017,0,0,0.452991453,0.471509972,0.777777778,IOPS,125,0.004706387,59,11.89830508,11,9.313185323,149159,0,1,0,sequence
KPI-da10a69f-d836-3baa-ad40-3e548ecf1fbd.test.out,0.003542857,0.0448,0.030857143,0.251885714,0.0368,0.003885714,0,0.005485714,0,0.030514286,0.033942857,0.068457143,IOPS,8,0.081648269,77,113.6363636,11,231.1684554,107167,0,1,0,sequence
KPI-e0747cad-8dc8-38a9-a9ab-855b61f5551d.test.out,0,0.732758621,0.224137931,0.224137931,0.525862069,0,0,0,0,0.25862069,0.344827586,0.172413793,IOPS,288,0.010587432,7,13.28571429,3,22.83927873,8784,0,1,0,sequence
KPI-f0932edd-6400-3e63-9559-0a9860a1baa9.test.out,0.37755102,0.069317382,0.039057002,0.032371569,0.610485574,0.066150598,0.030612245,0.066150598,0.002111189,0.171006334,0.155524279,0.140042224,IOPS,6,0.056324686,50,145.08,6.5,927.7127969,128789,0,1,0,sequence
KPI-ffb82d38-5f00-37db-abc0-5d2e4e4cb6aa.test.out,0.539054291,0.369176883,0.305779335,0.274956217,0.601401051,0,0.370928196,0.55061296,0.056742557,0.23117338,0.100525394,0.104728546,IOPS,11,0.052972419,18,379,3,1517.715242,128784,0,1,0,sequence
1.test.out,0,0.72,0.675,0.025,0.045,0.1,0.02,0.01,0.41,0.005,0.055,0.08,MGAB,49,0.002,10,20,20,0,100000,0,1,0,sequence
10.test.out,0,0.865,0.39,0,0,0,0,0,0.2,0.05,0.035,0,MGAB,49,0.002,10,20,20,0,100000,0,1,0,sequence
2.test.out,0,0.87,0.51,0,0.02,0.035,0,0.02,0.27,0.095,0.12,0,MGAB,49,0.002,10,20,20,0,100000,0,1,0,sequence
3.test.out,0,0.7,0.6,0,0.055,0.035,0,0.02,0.1,0.075,0.14,0.1,MGAB,49,0.002,10,20,20,0,100000,0,1,0,sequence
4.test.out,0,1,0.875,0.07,0.02,0,0,0,0.2,0.095,0.13,0,MGAB,103,0.002,10,20,20,0,100000,0,1,0,sequence
5.test.out,0,0.9,0.68,0,0,0.015,0,0,0.155,0.045,0.03,0,MGAB,49,0.002,10,20,20,0,100000,0,1,0,sequence
6.test.out,0,0.875,0.575,0,0.02,0.035,0.01,0.02,0.375,0.045,0.11,0.08,MGAB,48,0.002,10,20,20,0,100000,0,1,0,sequence
7.test.out,0,0.9,0.66,0,0.025,0,0,0,0.235,0.065,0.04,0,MGAB,49,0.002,10,20,20,0,100000,0,1,0,sequence
8.test.out,0,0.715,0.63,0,0.035,0.095,0,0.035,0.14,0.065,0.08,0,MGAB,49,0.002,10,20,20,0,100000,0,1,0,sequence
9.test.out,0,0.73,0.6,0.085,0.065,0,0,0.08,0.205,0.01,0.04,0.085,MGAB,48,0.002,10,20,20,0,100000,0,1,0,sequence
NAB_data_CloudWatch_1.out,0.035,0.28,0,0,0.03,0.6275,0,0.335,0,0.0175,0.02,0.1,NAB,289,0.09923096,2,200,200,0,4031,0,1,0,sequence
NAB_data_CloudWatch_10.out,0.002487562,0,0,0,0.047263682,0.014925373,0,0,0,0.037313433,0.037313433,0,NAB,10,0.099727115,3,134,134,0,4031,0,1,0,sequence
NAB_data_CloudWatch_11.out,0.084577114,0.13681592,0.151741294,0.199004975,0.067164179,0.124378109,0.121890547,0.131840796,0.002487562,0.009950249,0.007462687,0.099502488,NAB,50,0.099727115,1,402,402,0,4031,0,1,0,sequence
NAB_data_CloudWatch_12.out,0.154661017,0,0.449152542,0,0.103813559,0.243644068,0,0.277542373,0.025423729,0.046610169,0.042372881,0.042372881,NAB,11,0.099809685,2,236,236,0,4729,0,1,0,sequence
NAB_data_CloudWatch_13.out,0.04,0.01,0,0,0.04,0.0625,0,0.2375,0,0.025,0.02,0.1,NAB,125,0.09923096,2,200,200,0,4031,0,1,0,sequence
