filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an
YahooA4Benchmark-TS95_data.out,0.441935484,0.9,0.962126643,0.991457587,0.621804062,0.473715651,0.396236559,0.467801673,0.95525687,0.99958184,0.793727599,0.487992832,YAHOO,24,0.00297619,5,1,1,0,1680,1,0,0,point
YahooA4Benchmark-TS96_data.out,0.894603459,0.964221825,0.988670244,0.996571258,0.985986881,0.788014311,0.290995826,0.780560525,0.926803816,1,0.984197973,0.523852117,YAHOO,24,0.001190476,2,1,1,0,1680,1,0,0,point
YahooA4Benchmark-TS97_data.out,0.611188364,0.833508719,0.906776158,0.949319753,0.761857336,0.544159651,0.324150631,0.645369814,0.832212117,0.970948587,0.895012778,0.715085689,YAHOO,24,0.00952381,16,1,1,0,1680,1,0,0,point
YahooA4Benchmark-TS98_data.out,0.521254006,0.73447516,0.897696314,0.952223558,0.444250801,0.45625,0.450280449,0.541225962,0.83125,1,0.998657853,0.522215545,YAHOO,12,0.008928571,15,1,1,0,1680,1,0,0,point
YahooA4Benchmark-TS99_data.out,0.42376353,0.75896347,0.938439567,0.960669723,0.635974143,0.431242483,0.410816296,0.4778638,0.878701894,0.862015183,0.985868912,0.416679194,YAHOO,24,0.00952381,15,1.066666667,1,0.249443826,1680,0,0,1,mixed
YahooA4Benchmark-TS9_data.out,0.628426698,0.944576877,0.811382598,0.887961859,0.936829559,0.626340882,0.33909416,0.460369487,0.821215733,0.993146603,0.722884386,0.661203814,YAHOO,24,0.000595238,1,1,1,0,1680,1,0,0,point
Yahoo_A1real_10_data.out,1,1,0.021376518,0.162105263,1,1,0.992604588,1,0.846072874,0.706018893,0.693792173,0.998245614,YAHOO,24,0.009034051,1,13,13,0,1439,0,1,0,sequence
Yahoo_A1real_11_data.out,0.998423649,0.997125478,0.136011276,0.251937984,0.99514113,0.997422202,0.993527688,0.997125478,0.659841994,0.763751345,0.667260116,0.996124031,YAHOO,42,0.013203614,1,19,19,0,1439,0,1,0,sequence
Yahoo_A1real_12_data.out,0.918583043,0.990127758,0.267595819,0.906504065,1,0.528222997,0.831939605,0.990940767,0.007897793,0.685133566,0.675493612,0.681416957,YAHOO,74,0.002084781,2,1.5,1.5,0.5,1439,0,0,1,mixed
Yahoo_A1real_13_data.out,0.95371669,0.985302712,0.977004441,0.975806452,0.989481066,0.833245676,0.739685601,0.95885928,0.966573165,0.881077606,0.730569191,0.758064516,YAHOO,24,0.008339124,3,4,3,1.414213562,1439,0,1,0,sequence
Yahoo_A1real_14_data.out,0.801532033,0.998259053,0.146587744,0.921657382,0.998955432,0.608983287,0.998084958,0.990947075,0.963614206,0.84505571,0.52071727,0.993732591,YAHOO,25,0.001389854,1,2,2,0,1439,0,1,0,sequence
