filename,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE,CNN,LSTM,POLY,dataset,period_length,ratio,nb_anomaly,average_anom_length,median_anom_length,std_anom_length,data_len,point_anom,seq_anom,mixed_anom,type_an
Yahoo_A1real_67_data.out,1,0.461333333,0.186666667,1,1,0.8,0.514666667,1,0.424,0.405333333,0.066666667,1,YAHOO,13,0.016163036,5,4.6,5,1.496662955,1423,0,1,0,sequence
Yahoo_A1real_6_data.out,1,1,0,0,0.9,0,1,1,1,0.4,0.3,1,YAHOO,11,0.005559416,1,8,8,0,1439,0,1,0,sequence
Yahoo_A1real_7_data.out,0.328115942,0.124637681,0.07826087,0,0,0.620289855,0.171014493,0,0,0.113043478,0.113043478,0.310144928,YAHOO,23,0.042867182,3,20.33333333,23,3.771236166,1423,0,1,0,sequence
Yahoo_A1real_8_data.out,1,0.666666667,0,0,1,0.666666667,0.333333333,0.666666667,0,0.80952381,0.80952381,0.666666667,YAHOO,125,0.007042254,3,3.333333333,2,2.624669291,1420,0,0,1,mixed
Yahoo_A1real_9_data.out,0.5,0.5,0.25,0.75,1,0.5,0.5,0.25,0.5,0.85,0,0.25,YAHOO,144,0.005475702,4,2,1.5,1.224744871,1461,0,0,1,mixed
Yahoo_A2synthetic_100_data.out,0,0,0.6,0.5,1,0,0,0,0,0,1,1,YAHOO,235,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_10_data.out,0,0.5,0,0,0.5,0,0,0,0,1,0,0,YAHOO,157,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_11_data.out,0,0.333333333,1,1,1,0,0,0,0.311111111,1,1,0,YAHOO,133,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_12_data.out,0,1,1,0,0,0,0,0,0,1,0,0,YAHOO,118,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_13_data.out,0,1,1,0.5,1,0,0,0,0,1,1,0,YAHOO,105,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_14_data.out,0,0,0,0,1,0,1,0,0,0.466666667,1,1,YAHOO,35,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_15_data.out,0,0,1,0,0,0,0,0,0,0,0,0,YAHOO,237,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_16_data.out,0,0,0.5,0.5,1,0,0,0,0,1,0.5,1,YAHOO,184,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_17_data.out,0,0.666666667,0.666666667,0.333333333,0.666666667,0,0.155555556,0.333333333,0,1,0.333333333,0,YAHOO,157,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_18_data.out,0,0,1,1,1,0,0,0,0,1,1,0,YAHOO,134,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_19_data.out,0,0.5,0,0.5,1,0,0,0,0,1,1,0,YAHOO,119,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_1_data.out,0,1,0,1,0,0.5,0,0,0,1,1,1,YAHOO,235,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_20_data.out,0,0.333333333,0,1,0.666666667,0,0,0,0,1,0.333333333,0,YAHOO,103,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_21_data.out,1,1,0,0,1,1,0,1,0,1,0,1,YAHOO,125,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_22_data.out,0,0,0,0.5,0,0,0,0,0,0,0,0,YAHOO,235,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_23_data.out,0,0.333333333,1,0.666666667,1,0,0.333333333,0,0,0,0.577777778,1,YAHOO,35,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_24_data.out,0,0,1,0,0,0,0,0,0,1,0,0,YAHOO,158,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_25_data.out,0,0.5,0.5,1,1,0,0,0,0,1,1,1,YAHOO,132,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_26_data.out,0,0.666666667,0.244444444,0.333333333,0.333333333,0,0,0.333333333,0,0.666666667,0.333333333,0,YAHOO,119,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_27_data.out,0,1,1,1,1,0,1,0,1,1,1,0,YAHOO,103,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_28_data.out,0,0,0,0,1,0,1,0,0,0.6,1,1,YAHOO,235,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_29_data.out,0,0.577777778,0,0.333333333,1,0,0,0,0,0.666666667,0,1,YAHOO,235,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_2_data.out,0,0,0.666666667,0.666666667,0.333333333,0,0,0.333333333,0,0,0,0.333333333,YAHOO,189,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_30_data.out,0,0,0,0,1,0,1,0,0,1,1,1,YAHOO,160,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_31_data.out,0,0,0.5,0.5,1,0,0,0,0,1,0.5,0.5,YAHOO,157,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_32_data.out,0,0.333333333,0,1,0.666666667,0,0,0,0,1,1,0,YAHOO,131,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_33_data.out,0,0,0,1,1,0,0,0,0,1,1,0,YAHOO,117,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_34_data.out,0,0,0.3,0.5,1,0,0.3,0,0,1,0.5,0,YAHOO,103,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_35_data.out,1,1,0,0,1,1,0,1,0,0,0.733333333,1,YAHOO,35,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_36_data.out,0,0,0,0,0,0,0,0,0,0,0,0,YAHOO,125,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_37_data.out,0,0,0,0.5,1,0,0.5,0,0,0.5,1,1,YAHOO,113,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_38_data.out,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0.155555556,0.333333333,YAHOO,155,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_39_data.out,0,1,1,1,1,0,0,0,1,1,1,1,YAHOO,126,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_3_data.out,0,1,1,1,0,1,0,0,0,1,1,0,YAHOO,158,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_40_data.out,0,0,1,0.5,0,0,0,0,0,1,1,0,YAHOO,119,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_41_data.out,0,0.333333333,0,1,1,0,1,0.666666667,0.244444444,1,1,0.666666667,YAHOO,103,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_42_data.out,1,1,0,0,1,1,0,0,0,0,0,1,YAHOO,125,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_43_data.out,0,0.5,0,0.5,1,0,0,0,0,1,1,1,YAHOO,10,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_44_data.out,0,0,0,0.666666667,1,0,0,0,0,1,0,1,YAHOO,35,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_45_data.out,0,0,1,0,1,0,0,0,0,1,0,0,YAHOO,154,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_46_data.out,0,0.5,0.5,0.5,1,0,0,0,0,1,1,0,YAHOO,128,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_47_data.out,0,0.333333333,0.666666667,0.666666667,1,0,0.333333333,0.666666667,0,1,1,0.333333333,YAHOO,115,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_48_data.out,0,1,1,1,1,0,0,0,0,0,1,0,YAHOO,100,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_49_data.out,1,1,0,0.6,1,1,0,1,0,0,0.6,1,YAHOO,235,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_4_data.out,0,0,1,1,0,0,0,0,0,0,1,0,YAHOO,135,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_50_data.out,0,0,0,0.333333333,0,0,0,0,0,1,0,0.666666667,YAHOO,29,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_51_data.out,0,1,0,0,1,0,0,0,0,1,1,1,YAHOO,126,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_52_data.out,0,0,0.5,0,0.5,0,0,0,0,1,1,0.5,YAHOO,151,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_53_data.out,0,0.666666667,0,1,1,0,0,0,0,1,1,1,YAHOO,35,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_54_data.out,0,0,0,0,0,0,0,0,0,1,0,0,YAHOO,125,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_55_data.out,0,0,1,0.5,1,0,0,0,0.5,1,1,0.5,YAHOO,103,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_56_data.out,0,0,0,0,1,0,1,0,0,0.466666667,1,1,YAHOO,35,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_57_data.out,0,0,0,0,1,0,0,0,0,1,0,1,YAHOO,125,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_58_data.out,0,0,1,0.5,1,0,0,0,0,0,1,1,YAHOO,113,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_59_data.out,0,0.666666667,0.333333333,0.333333333,1,0,0,0,0,1,0.822222222,1,YAHOO,9,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_5_data.out,0,0.666666667,1,0.666666667,1,0.666666667,0,0.666666667,0,1,0.666666667,0,YAHOO,118,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_60_data.out,0,0,1,1,1,0,0,0,0,1,1,1,YAHOO,125,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_61_data.out,0,1,1,0.5,1,0,0,0.5,0,1,1,0,YAHOO,118,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_62_data.out,0,0.333333333,0,1,1,0,0,0,0.155555556,1,1,0.666666667,YAHOO,35,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_63_data.out,1,1,0,1,1,1,0,1,0,0,0,1,YAHOO,125,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_64_data.out,0,0,0,0.3,0,0,0,0,0,0,0,0,YAHOO,235,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_65_data.out,0,0.666666667,0.333333333,0.666666667,1,0,1,0,0,0,1,1,YAHOO,35,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_66_data.out,0,1,1,0,0,0,0,0,0,1,0,0,YAHOO,158,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_67_data.out,0,1,0,1,1,0,0,0,0,1,1,1,YAHOO,235,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_68_data.out,0,0.666666667,1,0.666666667,0.333333333,0,0,0.666666667,0,1,0.577777778,0,YAHOO,118,0.006333568,3,3,3,0,1421,0,1,0,sequence
Yahoo_A2synthetic_69_data.out,0,1,1,1,1,0,1,0,1,1,1,1,YAHOO,91,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_6_data.out,0,1,1,1,1,0,0,0,0,1,0,0,YAHOO,105,0.00070373,1,1,1,0,1421,1,0,0,point
Yahoo_A2synthetic_70_data.out,1,1,0,0,1,1,0,0.5,0,0,0.6,1,YAHOO,235,0.002814919,2,2,2,0,1421,0,1,0,sequence
Yahoo_A2synthetic_71_data.out,0,0,0,0.488888889,1,0,0,0,0,1,0,1,YAHOO,235,0.006333568,3,3,3,0,1421,0,1,0,sequence
